_id,Saglik Tesisi Adi,Ana Kategori,Alt Kategori,Ilce Adi,Mahalle Adi,ADRES,Latitude,Longitude
3397,Uzm. Dr. Gülten Özbaş,Sağlık,Doktor/Muayenehane,KADIKÖY,2024-05-19 00:00:00,İnönü Cad. No:91K 19 MAYIS/KADIKÖY,40.978780999999997902705217711627483367919921875,29.092662000000000688260115566663444042205810546875
3398,Selçuk Ecza Deposu,Sağlık,Ecza Deposu,KADIKÖY,ERENKÖY,Yesari Asım Arsoy Sk. No:4 /2 ERENKÖY/KADIKÖY,40.9769050000000021327650756575167179107666015625,29.07831900000000047157300286926329135894775390625
3399,Sağlıklı Beslenme Merkezi,Sağlık,Diyetisyen,MALTEPE,CEVİZLİ,Talatpaşa Cad. No:25 /2 CEVİZLİ/MALTEPE,40.91783000000000214413375942967832088470458984375,29.150034999999999030251274234615266323089599609375
3400,Dr. Altan Yücetaş,Sağlık,Doktor/Muayenehane,ŞİŞLİ,MEŞRUTİYET,Vali Konağı Cad. No:139 /1 MEŞRUTİYET/ŞİŞLİ,41.05420600000000064255800680257380008697509765625,28.994164000000001379930836264975368976593017578125
3401,Diş Hekimi Göksen Arda Sütlüoğlu,Sağlık,Diş Hekimi,MALTEPE,İDEALTEPE,Bağdat Cad. No:194 İDEALTEPE/MALTEPE,40.93962599999999696365193813107907772064208984375,29.116991999999999762849256512708961963653564453125
3402,Avşar Veteriner Kliniği,Sağlık,Veteriner,PENDİK,ÇAMLIK,Cahit Zarifoğlu Cad. No:7 E ÇAMLIK/PENDİK,40.9303000000000025693225325085222721099853515625,29.28399999999999891997504164464771747589111328125
3403,Ege Veteriner,Sağlık,Veteriner,TUZLA,AYDINTEPE,Rezzan Sk. No:1 AYDINTEPE/TUZLA,40.8565200000000032787283998914062976837158203125,29.294644999999999157580532482825219631195068359375
3404,Sarıyer 4 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,SARIYER,BÜYÜKDERE,Çayırbaşı Cad. No:77 BÜYÜKDERE/SARIYER,41.158918999999997367922333069145679473876953125,29.03802699999999958890839479863643646240234375
3405,Şehir Veteriner,Sağlık,Veteriner,MALTEPE,FEYZULLAH,Mimar Sinan Cad. No:12 FEYZULLAH/MALTEPE,40.9246490000000022746462491340935230255126953125,29.128685999999998301746018114499747753143310546875
3406,Selçuk Ecza Deposu,Sağlık,Ecza Deposu,ESENYURT,ZAFER,110. Sk. No:6 -8 ZAFER/ESENYURT,41.009850999999997611666913144290447235107421875,28.69098699999999979581843945197761058807373046875
3407,Bakırköy Veteriner,Sağlık,Veteriner,BAKIRKÖY,ZEYTİNLİK,Sporcu Sk. No:13 ZEYTİNLİK/BAKIRKÖY,40.9788089999999982637746143154799938201904296875,28.869460000000000121644916362129151821136474609375
3408,Diş Hekimi Dilek Açıkalın,Sağlık,Diş Hekimi,KARTAL,UĞUR MUMCU,Yunus Emre Cad. No:14 UĞUR MUMCU/KARTAL,40.92975700000000216505213757045567035675048828125,29.216719000000001216221789945848286151885986328125
3409,Avcılar 9 No'lu Aile Sağlığı Merkezi,Sağlık,Aile Sağlığı Merkezi,AVCILAR,FİRUZKÖY,Tiryaki Suyu Cad. No:39 FİRUZKÖY/AVCILAR,41.02087399999999917099557933397591114044189453125,28.70681499999999886085788602940738201141357421875
3410,Dermokozmetik Medikal,Sağlık,Medikal,BEYOĞLU,KULOĞLU,Sadri Alışık Sk. No:4 KULOĞLU/BEYOĞLU,41.03470899999999943474904284812510013580322265625,28.980647000000001156649886979721486568450927734375
3411,Dr. Servent Ayrancı,Sağlık,Doktor/Muayenehane,BEŞİKTAŞ,DİKİLİTAŞ,Aşık Kerem Sk. No:16 DİKİLİTAŞ/BEŞİKTAŞ,41.0564200000000028012436814606189727783203125,29.0015819999999990841388353146612644195556640625
3412,Uzm. Kl. Psk. Fethiye Zalım Başbekleyen,Sağlık,Psikologlar,BAKIRKÖY,KARTALTEPE,Yunus Nadi Sk. No:27 KARTALTEPE/BAKIRKÖY,40.990937000000002399247023276984691619873046875,28.873011000000001757825884851627051830291748046875
3413,Uzm. Dr. Elvan Çiçekçi,Sağlık,Doktor/Muayenehane,KADIKÖY,CAFERAĞA,Mühürdar Cad. No:83 CAFERAĞA/KADIKÖY,40.98738300000000123191057355143129825592041015625,29.021916000000000934733179747126996517181396484375
3414,Persona Psikolojik Danışmanlık Merkezi,Sağlık,Psikologlar,GAZİOSMANPAŞA,MERKEZ,Cumhuriyet Meydanı No:9 MERKEZ/GAZİOSMANPAŞA,41.0587459999999992987795849330723285675048828125,28.913261999999999574129105894826352596282958984375
3415,Gözlük Satıcısı,Sağlık,Gözlükçü/Optik,FATİH,BEYAZIT,Çadırcılar Cad. No:164 -9 BEYAZIT/FATİH,41.009602000000000998625182546675205230712890625,28.965924000000001115040504373610019683837890625
3416,Nefes Veteriner Kliniği,Sağlık,Veteriner,BEYLİKDÜZÜ,BARIŞ,Ali Çebi Cad. No:9 BARIŞ/BEYLİKDÜZÜ,41.00358299999999900364855420775711536407470703125,28.659575000000000244426701101474463939666748046875
3417,Özel Odak Huzurevi,Sağlık,Yaşlı Bakım Evi/Huzurevi,KARTAL,YAKACIK ÇARŞI,Yeşilzümrüt Sk. No:3 YAKACIK ÇARŞI/KARTAL,40.9129209999999972069417708553373813629150390625,29.228269000000000943373379413969814777374267578125
3418,İstanbul Psikoloji Atölyesi,Sağlık,Psikologlar,BAKIRKÖY,ZUHURATBABA,Dr. Tevfik Sağlam Cad. No:3 ZUHURATBABA/BAKIRKÖY,40.99237600000000014688339433632791042327880859375,28.8689379999999999881765688769519329071044921875
3419,Uzm. Kl. Psk. Sevim Temel,Sağlık,Psikologlar,KADIKÖY,FENERBAHÇE,Eflatun Sk. No:4 FENERBAHÇE/KADIKÖY,40.97551800000000099544195109046995639801025390625,29.04629800000000017234924598596990108489990234375
